event,year,game,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC
AGDQ,2022,Bonus Game 2 - Super Monkey Ball: Banana Mania,1,0,1,0,Ryu Ga Gotoku Studio,Sega,2021,"PS4, PS5, Xbox One, Xbox Series X/S, Switch, PC","PS4, PS5, Xbox One, Xbox Series X/S, Switch, PC",8,76,7.5,1
AGDQ,2022,Ori and the Blind Forest,0,0,1,1,Moon Studios,Microsoft Studios,2015,"Xbox One, PC","Xbox One, PC",8,88,8.9,1
AGDQ,2022,Super Mario Galaxy,0,0,0,0,Nintendo EAD Tokyo,Nintendo,2007,Wii,Wii,7,97,9.1,0
AGDQ,2022,Daily Recap - Monday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2022,Pumpkin Jack,0,0,1,0,Nicolas Meyssonnier,Headup Games,2020,"PC, Xbox One, Switch","PC, Xbox One, Switch",8,70,7.4,1
AGDQ,2022,Hitman: Codename 47,0,0,0,0,IO Interactive,Eidos Interactive,2000,PC,PC,Various,73,8.1,1
AGDQ,2022,Serious Sam 4,0,0,1,1,Croteam,Devolver Digital,2020,"PC, Stadia",PC,Various,68,6.5,1
AGDQ,2022,Beast Wars: Transformers,0,0,0,0,SCE Cambridge Studio,Hasbro Interactive,1997,PlayStation,PlayStation,5,N/A,N/A,0
AGDQ,2022,Metal Warriors,0,0,0,0,LucasArts,Konami,1995,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,Astalon: Tears of the Earth,0,0,0,0,LABS Works,DANGEN Entertainment,2021,"PC, Switch, PS4, Xbox One","PC, Switch, PS4, Xbox One",8,84,8.2,1
AGDQ,2022,Willow,0,0,1,1,Capcom,Capcom,1989,NES,NES,3,N/A,N/A,0
AGDQ,2022,SNOLF 0,0,0,0,0,DrMelon,N/A,2021,Sega Genesis (ROM hack),Sega Genesis,4,N/A,N/A,0
AGDQ,2022,PokÃ©mon Crystal Key Item Randomizer,0,0,0,0,Fan-made,N/A,N/A,Game Boy Color (ROM hack),Game Boy Color,5,N/A,N/A,0
AGDQ,2022,Garshasp: The Monster Slayer,0,0,0,0,Dead Mage,Meridian4,2011,PC,PC,Various,50,4.8,1
AGDQ,2022,Kingdom Hearts II Final Mix HD,0,0,0,0,Square Enix,Square Enix,2014,PS3,PS3,7,76,8.5,0
AGDQ,2022,SYNTHETIK: Legion Rising,0,0,0,0,Flow Fire Games,Flow Fire Games,2018,PC,PC,Various,81,8.1,1
AGDQ,2022,Spider-Man 2,0,0,0,0,Treyarch,Activision,2004,"PS2, Xbox, GameCube","PS2, Xbox, GameCube",6,80,8.8,0
AGDQ,2022,Teenage Mutant Ninja Turtles: Out of the Shadows,0,0,0,0,Red Fly Studio,Activision,2013,"PC, PS3, Xbox 360","PC, PS3, Xbox 360",7,49,5.3,1
AGDQ,2022,The Legend of Spyro: The Eternal Night,0,0,0,0,Krome Studios,Sierra Entertainment,2007,"PS2, Wii, GBA, DS","PS2, Wii, Game Boy Advance, Nintendo DS",6,62,7.4,0
AGDQ,2022,Halo: Combat Evolved,0,0,0,0,Bungie,Microsoft Game Studios,2001,Xbox,Xbox,6,97,8.8,0
AGDQ,2022,Sekiro: Shadows Die Twice,0,0,0,0,FromSoftware,Activision,2019,"PS4, Xbox One, PC","PS4, Xbox One, PC",8,90,8.2,1
AGDQ,2022,Nioh 2,0,0,0,0,Team Ninja,Sony Interactive Entertainment,2020,PS4,PS4,8,85,8.5,0
AGDQ,2022,Metroid Prime Hunters,0,0,1,1,Nintendo,Nintendo,2006,DS,Nintendo DS,6,85,8.2,0
AGDQ,2022,Donkey Kong Country 2: Diddy's Kong Quest,0,0,0,0,Rare,Nintendo,1995,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,DEATHLOOP,0,0,0,0,Arkane Studios,Bethesda Softworks,2021,"PS5, PC","PS5, PC",9,88,6.5,1
AGDQ,2022,Axiom Verge 2,0,0,0,0,Thomas Happ Games,Thomas Happ Games,2021,"PS4, Switch, PC","PS4, Switch, PC",8,85,7.2,1
AGDQ,2022,Mega Man 2,0,0,0,0,Capcom,Capcom,1988,NES,NES,3,N/A,N/A,0
AGDQ,2022,Bonus Game 1 - Metal Gear Solid 2: Substance,1,0,1,1,Konami,Konami,2002,"Xbox, PS2, PC","Xbox, PS2, PC",6,87,8.2,0
AGDQ,2022,Death's Door,0,0,0,0,Acid Nerve,Devolver Digital,2021,"Xbox One, Xbox Series X/S, PC","Xbox One, Xbox Series X/S, PC",8,87,8.5,1
AGDQ,2022,The Legend of Zelda: Oracle of Seasons,0,0,0,0,Flagship,Nintendo,2001,Game Boy Color,Game Boy Color,5,N/A,N/A,0
AGDQ,2022,Daily Recap - Sunday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2022,Dead Space 2,0,0,0,0,Visceral Games,Electronic Arts,2011,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,90,8.7,1
AGDQ,2022,Samurai Jack: Battle Through Time,0,0,1,0,Soleil Ltd.,Adult Swim Games,2020,"PS4, Xbox One, Switch, PC","PS4, Xbox One, Switch, PC",8,75,7.6,1
AGDQ,2022,RITE,0,0,0,0,Pond Games,Pond Games,2020,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Mail Mole,0,0,0,0,Talpa Games,Undercoders,2021,"Switch, PC","Switch, PC",9,N/A,N/A,1
AGDQ,2022,Antichamber,0,0,1,1,Demruth,Demruth,2013,PC,PC,Various,82,8.1,1
AGDQ,2022,Judge Dredd,0,0,0,0,Probe Software,Acclaim Entertainment,1995,"Genesis, SNES","Sega Genesis, SNES",4,N/A,N/A,0
AGDQ,2022,Bust-A-Move 4,0,0,1,0,Taito,Acclaim Entertainment,1998,"PS1, N64, Dreamcast","Playstation, N64, Dreamcast",5,N/A,N/A,0
AGDQ,2022,ActRaiser,0,0,0,0,Quintet,Enix,1990,SNES,SNES,4,N/A,N/A,0
AGDQ,2022,Beyond Oasis,0,0,0,0,Ancient,Sega,1994,Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2022,Gunstar Heroes,0,0,0,0,Treasure,Sega,1993,Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2022,Environmental Station Alpha,0,0,0,0,Hempuli,Hempuli,2015,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Journey,0,0,0,0,Thatgamecompany,Sony Computer Entertainment,2012,PS3,PS3,7,92,8.9,0
AGDQ,2022,Yu-Gi-Oh! Forbidden Memories,0,0,1,1,Konami,Konami,2002,PS1,Playstation,5,N/A,N/A,0
AGDQ,2022,PokÃ©mon Omega Ruby/Alpha Sapphire,0,0,0,0,Game Freak,Nintendo,2014,3DS,Nintendo 3DS,7,83,7.7,0
AGDQ,2022,Hades,0,0,1,1,Supergiant Games,Supergiant Games,2020,"PC, Switch","PC, Switch",9,93,8.8,1
AGDQ,2022,Donut County,0,0,0,0,Ben Esposito,Annapurna Interactive,2018,"iOS, PS4, PC","Mobile, PS4, PC",8,80,7.4,1
AGDQ,2022,Fallout: New Vegas,0,0,1,0,Obsidian Entertainment,Bethesda Softworks,2010,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,84,8.4,1
AGDQ,2022,Sonic R,0,0,0,0,Traveller's Tales,Sega,1997,Sega Saturn,Sega Saturn,5,69,7.5,0
AGDQ,2022,Sonic Robo Blast 2,0,0,0,0,Sonic Team Junior,Sonic Team Junior,1998,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Sonic the Hedgehog 4: Episode II,0,0,1,1,"Dimps, Sonic Team",Sega,2012,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,67,6.8,1
AGDQ,2022,Sonic Adventure DX: Director's Cut,0,0,0,0,Sonic Team,Sega,2003,GameCube,GameCube,6,57,7.5,0
AGDQ,2022,Slay the Spire,0,0,1,1,MegaCrit,Humble Games,2019,PC,PC,Various,89,8.2,1
AGDQ,2022,GeoGuessr,0,0,0,0,Anton Wallén,GeoGuessr,2013,Browser,PC,Various,N/A,N/A,1
AGDQ,2022,ShootMania Storm,0,0,0,0,Nadeo,Ubisoft,2013,PC,PC,Various,76,7,1
AGDQ,2022,Trackmania,0,0,1,0,Nadeo,Ubisoft,2020,PC,PC,Various,74,6.8,1
AGDQ,2022,Bonus Game 4 - Rocket League,1,0,1,1,Psyonix,Psyonix,2015,"PS4, PC","PS4, PC",8,86,8.9,1
AGDQ,2022,Risk of Rain 2,0,0,0,0,Hopoo Games,Gearbox Publishing,2020,PC,PC,Various,85,8.2,1
AGDQ,2022,Halo 5: Guardians,0,0,0,0,343 Industries,Microsoft Studios,2015,Xbox One,Xbox One,8,84,6.4,0
AGDQ,2022,Daily Recap - Wednesday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2022,Diddy Kong Racing,0,0,0,0,Rare,Nintendo,1997,Nintendo 64,N64,5,N/A,N/A,0
AGDQ,2022,Splatoon 2,0,0,0,0,Nintendo EPD,Nintendo,2017,Nintendo Switch,Switch,9,83,8.3,0
AGDQ,2022,3DS Zelda Game Bidwar,0,0,1,0,Nintendo EAD,Nintendo,2000,Nintendo 64,N64,5,95,9.1,0
AGDQ,2022,Zelda's Adventure,0,0,1,0,Viridis Corporation,Philips Interactive Media,1994,Philips CD-i,Philips CD-i,4,N/A,N/A,0
AGDQ,2022,crossbeats REV. Sunrise,0,0,1,1,Capcom,Capcom,2015,Arcade,Arcade,Various,N/A,N/A,0
AGDQ,2022,Ynglet,0,0,0,0,Nifflas' Games,Triple Topping,2021,PC,PC,Various,80,7.5,1
AGDQ,2022,It Takes Two,0,0,0,0,Hazelight Studios,Electronic Arts,2021,"PS4, PS5, Xbox One, Xbox Series X/S, PC","PS4, PS5, Xbox One, Xbox Series X/S, PC",8,88,8.8,1
AGDQ,2022,Marble It Up!,0,0,0,0,Marble It Up! LLC,Marble It Up! LLC,2018,Nintendo Switch,Switch,9,N/A,N/A,0
AGDQ,2022,The Elder Scrolls IV: Oblivion,0,0,0,0,Bethesda Game Studios,Bethesda Softworks,2006,"Xbox 360, PC","Xbox 360, PC",7,94,8.6,1
AGDQ,2022,Stardew Valley,0,0,1,0,ConcernedApe,ConcernedApe,2016,PC,PC,Various,89,8.8,1
AGDQ,2022,I Am Bread,0,0,0,0,Bossa Studios,Bossa Studios,2015,PC,PC,Various,71,6.8,1
AGDQ,2022,Rockman & Forte,0,0,0,0,Capcom,Capcom,1998,Super Famicom,SNES,4,N/A,N/A,0
AGDQ,2022,Portal Reloaded,0,0,0,0,Portanis,Portanis,2021,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Dark Souls,0,0,1,0,FromSoftware,Bandai Namco Entertainment,2011,"PS3, Xbox 360","PS3, Xbox 360",7,89,8.5,0
AGDQ,2022,Bonus Game 6 - StepMania/NotITG,1,0,1,1,StepMania Team,StepMania Team,2001,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Daily Recap - Friday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2022,Wario Land: Shake It!,0,0,0,0,Good-Feel,Nintendo,2008,Wii,Wii,7,78,7.9,0
AGDQ,2022,Marvel's Spider-Man Remastered,0,0,1,0,Insomniac Games,Sony Interactive Entertainment,2020,PS5,PS5,9,85,8.8,0
AGDQ,2022,Kena: Bridge of Spirits,0,0,1,1,Ember Lab,Ember Lab,2021,"PS4, PS5, PC","PS4, PS5, PC",8,81,8.2,1
AGDQ,2022,Bucky O'Hare,0,0,0,0,Konami,Konami,1992,NES,NES,3,N/A,N/A,0
AGDQ,2022,Gargoyle's Quest II,0,0,0,0,Capcom,Capcom,1992,NES,NES,3,N/A,N/A,0
AGDQ,2022,Spacegulls,0,0,0,0,Morphcat Games,Morphcat Games,2021,NES,NES,3,N/A,N/A,0
AGDQ,2022,The Krion Conquest,0,0,0,0,Vic Tokai,Vic Tokai,1990,NES,NES,3,N/A,N/A,0
AGDQ,2022,Final Fantasy XIII,0,0,1,1,Square Enix,Square Enix,2009,"PS3, Xbox 360","PS3, Xbox 360",7,83,7,0
AGDQ,2022,Ratchet & Clank (2002),0,0,0,0,Insomniac Games,Sony Computer Entertainment,2002,PS2,PS2,6,88,8.8,0
AGDQ,2022,Ratchet & Clank: Rift Apart,0,0,0,0,Insomniac Games,Sony Interactive Entertainment,2021,PS5,PS5,9,88,8.5,0
AGDQ,2022,Returnal,0,0,1,1,Housemarque,Sony Interactive Entertainment,2021,PS5,PS5,9,86,7.3,0
AGDQ,2022,Daily Recap - Tuesday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2022,Dead Rising,0,0,1,1,Capcom Production Studio 1,Capcom,2006,Xbox 360,Xbox 360,7,85,8.1,0
AGDQ,2022,Tormented Souls,0,0,0,0,"Dual Effect, Abstract Digital",PQube,2021,"PS5, PC","PS5, PC",9,73,7.9,1
AGDQ,2022,FAITH: Chapter II,0,0,0,0,Airdorf Games,New Blood Interactive,2017,PC,PC,Various,N/A,N/A,1
AGDQ,2022,PAON-ã±ãŠã‚“- BEYOND THE PIEN,0,0,0,0,MuuMuu,MuuMuu,2021,"iOS, Android",Mobile,Various,N/A,N/A,0
AGDQ,2022,Eternal Darkness: Sanity's Requiem,0,0,0,0,Silicon Knights,Nintendo,2002,GameCube,GameCube,6,92,8.9,0
AGDQ,2022,Kuon,0,0,1,0,FromSoftware,Agetec,2004,PS2,PS2,6,N/A,N/A,0
AGDQ,2022,Three Dirty Dwarves,0,0,1,1,SegaSoft,Sega,1996,Sega Saturn,Sega Saturn,5,N/A,N/A,0
AGDQ,2022,We Love Katamari,0,0,0,0,Namco,Namco,2005,PS2,PS2,6,86,8.9,0
AGDQ,2022,The Typing of the Dead,0,0,0,0,Smilebit,Sega,2000,Dreamcast,Dreamcast,6,81,8.5,0
AGDQ,2022,Teenage Mutant Ninja Turtles: The Hyperstone Heist,0,0,0,0,Konami,Konami,1992,Sega Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2022,Taz-Mania,0,0,0,0,Sega,Sega,1992,Sega Genesis,Sega Genesis,4,N/A,N/A,0
AGDQ,2022,Meegah Mem II,0,0,1,1,Mendel Palace,Mendel Palace,2020,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Keep Talking and Nobody Explodes,0,0,0,0,Steel Crate Games,Steel Crate Games,2015,PC,PC,Various,83,8.1,1
AGDQ,2022,Super Mario 3D Land,0,0,1,1,Nintendo EAD Tokyo,Nintendo,2011,Nintendo 3DS,Nintendo 3DS,7,90,8.5,0
AGDQ,2022,Blazing Chrome,0,0,1,0,JoyMasher,The Arcade Crew,2019,"PC, PS4, Xbox One, Switch","PC, PS4, Xbox One, Switch",8,78,7.8,1
AGDQ,2022,Bishoujo Senshi Sailor Moon R,0,0,1,0,Angel,Bandai,1993,Super Famicom,SNES,4,N/A,N/A,0
AGDQ,2022,Tetris: The Grand Master,0,0,1,1,Arika,Capcom,1998,Arcade,Arcade,Various,N/A,N/A,0
AGDQ,2022,Bonus Game 7 - Deltarune,1,0,1,1,Toby Fox,Toby Fox,2018,PC,PC,Various,N/A,N/A,1
AGDQ,2022,Event Recap,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,The Mummy,0,0,1,1,Rebellion Developments,Konami,2000,"PlayStation, PC","PlayStation, PC",5,N/A,N/A,0
AGDQ,2021,Deus Ex: Human Revolution,0,0,1,0,Eidos-Montréal,Square Enix Europe,2011,"PS3, Xbox 360, PC","PS3, Xbox 360, PC",7,89,8.3,0
AGDQ,2021,Daily Recap - Thursday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,Half-Life,0,0,0,0,Valve,Sierra Studios,1998,PC,PC,Various,96,9.1,1
AGDQ,2021,Night in the Woods: DemonTower,0,0,1,0,Infinite Fall,Finji,2017,"PC, PlayStation 4","PC, PS4",8,88,8.3,1
AGDQ,2021,Metal Gear Solid: The Twin Snakes,0,0,1,1,Silicon Knights,"Konami, Nintendo",2004,GameCube,GameCube,6,85,8.8,0
AGDQ,2021,Nezumi Man,0,0,0,0,N/A,N/A,2013,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Luigi's Mansion,0,0,0,0,Nintendo EAD,Nintendo,2001,GameCube,GameCube,6,78,8,0
AGDQ,2021,Super Mario Land 2: 6 Golden Coins,0,0,0,0,Nintendo R&D1,Nintendo,1992,Game Boy,Game Boy,3,N/A,N/A,0
AGDQ,2021,Wario Land: Super Mario Land 3,0,0,0,0,Nintendo R&D1,Nintendo,1994,Game Boy,Game Boy,3,N/A,N/A,0
AGDQ,2021,Donkey Kong Country 2 Unveiled,0,0,0,0,Rare,Nintendo,2020,SNES,SNES,4,N/A,N/A,0
AGDQ,2021,Warcraft III: Reign of Chaos,0,0,1,1,Blizzard Entertainment,Blizzard Entertainment,2002,PC,PC,Various,92,9.2,1
AGDQ,2021,Final Fantasy VII,0,0,1,1,Square,Sony Computer Entertainment,1997,PlayStation,PlayStation,5,92,9.2,0
AGDQ,2021,The Legend of Zelda: Majora's Mask,0,0,0,0,Nintendo EAD,Nintendo,2000,Nintendo 64,N64,5,95,9.1,0
AGDQ,2021,Bonus Game 5 - Super Mario 64,1,0,1,1,Nintendo EAD,Nintendo,1996,Nintendo 64,N64,5,94,9.2,0
AGDQ,2021,Super Mario Sunshine,0,0,0,0,Nintendo EAD,Nintendo,2002,GameCube,GameCube,6,92,8.3,0
AGDQ,2021,Daily Recap - Friday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,Oddworld: Stranger's Wrath HD,0,0,1,1,Just Add Water,Oddworld Inhabitants,2011,PlayStation 3,PS3,7,82,8,0
AGDQ,2021,X-Men: The Arcade Game,0,0,1,1,Konami,Konami,1992,Arcade,Arcade,Various,N/A,N/A,0
AGDQ,2021,Bloodstained: Curse of the Moon 2,0,0,1,1,Inti Creates,Inti Creates,2020,"Nintendo Switch, PS4, Xbox One, PC","Switch, PS4, Xbox One, PC",8,82,8.3,1
AGDQ,2021,Super Mario Bros. 2,0,0,1,0,Nintendo,Nintendo,1988,NES,NES,3,N/A,N/A,0
AGDQ,2021,Super Meat Boy,0,0,0,0,Team Meat,Team Meat,2010,"Xbox 360, PC","Xbox 360, PC",7,90,8.4,1
AGDQ,2021,The Messenger,0,0,0,0,Sabotage Studio,Devolver Digital,2018,"PC, Nintendo Switch","PC, Switch",9,86,8.1,1
AGDQ,2021,Beat Saber,0,0,0,0,Beat Games,Beat Games,2018,PC (VR),PC,Various,93,8.9,1
AGDQ,2021,TASBot plays The Legend of Zelda: Link's Awakening DX,0,1,1,1,Nintendo R&D2,Nintendo,1998,Game Boy Color,Game Boy Color,5,N/A,N/A,0
AGDQ,2021,Sekiro: Shadows Die Twice,0,0,0,0,FromSoftware,Activision,2019,"PS4, Xbox One, PC","PS4, Xbox One, PC",8,90,8.2,1
AGDQ,2021,The Legend of Zelda: A Link to the Past,0,0,1,1,Nintendo,Nintendo,1991,SNES,SNES,4,N/A,N/A,0
AGDQ,2021,Super Mario Bros. 35,0,0,1,0,Arika,Nintendo,2020,Nintendo Switch,Switch,9,N/A,N/A,0
AGDQ,2021,Bonus Game 6 - The Legend of Zelda: Ocarina of Time,0,0,1,1,Nintendo EAD,Nintendo,1998,Nintendo 64,N64,5,99,9.1,0
AGDQ,2021,Dishonored 2,0,0,1,0,Arkane Studios,Bethesda Softworks,2016,"PS4, Xbox One, PC","PS4, Xbox One, PC",8,88,7.7,1
AGDQ,2021,Divinity: Original Sin 2 Definitive Edition,0,0,0,0,Larian Studios,Larian Studios,2017,PC,PC,Various,93,8.8,1
AGDQ,2021,Daily Recap - Monday,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGDQ,2021,Diablo III,0,0,0,0,Blizzard Entertainment,Blizzard Entertainment,2012,PC,PC,Various,88,4,1
AGDQ,2021,Mortal Shell,0,0,0,0,Cold Symmetry,Playstack,2020,"PS4, Xbox One, PC","PS4, Xbox One, PC",8,76,7.3,1
AGDQ,2021,Wild Arms,0,0,1,0,Media.Vision,Sony Computer Entertainment,1996,PlayStation,PlayStation,5,76,8.6,0
AGDQ,2021,Ultima VI: The False Prophet,0,0,1,1,Origin Systems,Origin Systems,1990,MS-DOS,PC,Various,N/A,N/A,1
AGDQ,2021,Journey to the Savage Planet,0,0,1,1,Typhoon Studios,505 Games,2020,"PS4, Xbox One, PC","PS4, Xbox One, PC",8,76,7.5,1
AGDQ,2021,Revenge of the Bird King,0,0,0,0,Limited Run Games,Limited Run Games,2018,Nintendo Switch,Switch,9,N/A,N/A,0
AGDQ,2021,Super Ledgehop: Double Laser,0,0,0,0,LAME Dimension,LAME Dimension,2018,PC,PC,Various,N/A,N/A,1
AGDQ,2021,Nikita: The Mystery of the Hidden Treasure,0,0,0,0,Tom Create,Tom Create,1990,Famicom,NES,3,N/A,N/A,0
AGDQ,2021,Dracula II: Noroi no Fuuin,0,0,1,0,Konami,Konami,1987,Famicom Disk System,NES,3,N/A,N/A,0
AGDQ,2021,Banana Prince,0,0,0,0,KID,Takara,1991,Famicom,NES,3,N/A,N/A,0
AGDQ,2021,Little Samson,0,0,0,0,Takeru,Taito,1992,NES,NES,3,N/A,N/A,0
AGDQ,2021,The Cowlitz Gamers' 2nd Adventure/Lost Adventure,0,0,0,0,CollectorVision,CollectorVision,2016,NES,NES,3,N/A,N/A,0
AGDQ,2021,River City Girls,0,0,1,1,WayForward,Arc System Works,2019,"PS4, Xbox One, Nintendo Switch, PC","PS4, Xbox One, Nintendo Switch, PC",8,80,8.1,1
AGDQ,2021,Braid,0,0,1,1,Number None,Number None,2008,Xbox 360,Xbox 360,7,93,8.2,0
